M,X360,10,11.09,6.8,3.11,0.14,1.04,2008,8.2
M,PS3,10,10.57,4.79,3.73,0.44,1.62,2008,8
M,PS4,9.8,13.94,5.26,6.21,0.21,2.26,2018,8.8
M,XB,9.8,2.49,1.84,0.56,,0.09,2003,7.8
M,PS4,9.7,19.39,6.06,9.71,0.6,3.02,2014,8.4
M,PS4,9.7,6.15,2.83,2.17,0.13,1.02,2018,9.1
M,PS2,9.6,16.15,8.41,5.49,0.47,1.78,2002,8.8
M,X360,9.6,9.41,5.98,2.39,0.13,0.91,2007,8.5
T,PS3,9.6,5.54,2.72,1.89,0.11,0.82,2011,8.8
T,PS,9.6,5.02,3.42,1.38,0.02,0.2,1999,8.6
T,PS2,9.6,3.67,2.13,1.18,0.01,0.35,2002,8.4
M,X360,9.6,2.83,1.65,0.85,0.05,0.28,2007,9
M,X360,9.5,13.53,8.54,3.63,0.08,1.28,2009,7.6
M,PS2,9.5,13.1,6.99,4.51,0.3,1.3,2001,8.3
M,PS3,9.5,10.61,4.99,3.66,0.38,1.59,2009,7.6
T,PS3,9.5,6.74,3.28,2.22,0.21,1.02,2009,8.8
M,PS3,9.5,6.72,3.13,2.27,0.28,1.04,2007,8.5
M,PS3,9.5,6.57,2.82,2.58,0.17,1,2011,9
M,X360,9.5,6.5,3.77,2.03,0.09,0.6,2010,9
M,PS3,9.5,6.27,2.41,2.57,0.29,0.99,2013,9.2
M,PS2,9.5,6.05,2.45,2.01,0.87,0.72,2001,8.9
E,PS2,9.5,5.23,4.26,0.26,0.01,0.71,2003,7
T,X360,9.5,4.75,2.99,1.28,0.04,0.44,2011,8.8
E,PS2,9.5,4.53,4.18,0.26,0.01,0.08,2004,6.9
M,PC,9.5,4.12,4.03,0,0.09,,1998,9.1
M,PS4,9.5,3.18,1.18,1.4,0.09,0.51,2018,6.6
M,X360,9.5,3.1,1.99,0.81,0.03,0.27,2010,8.9
M,PS3,9.4,20.32,6.37,9.85,0.99,3.12,2013,8.4
E10,PS4,9.4,6.33,1.89,3.13,0.35,0.96,2014,7.9
E,PS3,9.4,5.85,2.8,2.01,0.17,0.87,2008,8.1
E,PS2,9.4,4.14,3.36,0.21,0.01,0.56,2002,7.1
M,X360,9.3,9.97,7.08,2.01,0.08,0.8,2010,8.4
M,X360,9.3,8.88,5.1,2.83,0.1,0.85,2011,8.6
E,PS,9.3,7.13,3.68,1.75,1.42,0.28,1998,9
T,PS3,9.3,6.84,2.77,2.81,0.19,1.06,2011,8.4
M,PS3,9.3,6,2.63,1.72,0.83,0.81,2008,8.7
T,PS,9.3,4.68,3.05,1.41,0.02,0.2,2000,8.4
T,PS4,9.3,4.67,1.03,1.06,2.17,0.42,2018,7.7
T,PS3,9.3,4.19,2.04,1.05,0.59,0.52,2009,7.2
E,PS2,9.3,3.85,0.16,1.89,1.12,0.68,2005,7.5
M,PC,9.3,3.61,2.05,1.4,,0.16,1994,8.8
M,PS3,9.3,3.12,1.69,0.86,0.14,0.44,2007,8.8
T,XB,9.3,3.02,1.85,1.04,,0.13,2002,8.5
T,X360,9.3,2.95,1.83,0.7,0.15,0.26,2009,7.3
T,PC,9.3,2.85,1.37,1.34,,0.14,1996,8.7
T,PS2,9.3,2.68,1.23,1.11,,0.34,2004,9.1
T,PS,9.3,2.67,1.44,1.09,,0.14,1999,8.9
E,PS3,9.2,6.65,0.84,4.33,0.11,1.37,2011,7.2
E,X360,9.2,5.5,2.99,1.9,0.1,0.51,2009,8.2
T,PS2,9.2,5.12,3.81,0.63,,0.68,2006,8.2
E,PS,9.2,4.79,2.57,1.57,0.44,0.21,1999,8.8
M,X360,9.2,4.47,2.89,1.03,0.13,0.41,2009,8.8
E,X360,9.2,4.18,0.85,2.79,0.02,0.52,2011,6.8
M,PC,9.2,3.99,1.18,2.25,,0.56,2011,8.4
M,X360,9.2,2.91,1.83,0.79,0.03,0.27,2007,8.7
E,PS2,9.2,2.9,0.08,1.24,1.13,0.45,2004,7.2
T,PS,9.2,2.88,2.03,0.72,0.02,0.11,1999,8.6
T,PS,9.1,5.74,2.26,1.89,1.36,0.23,1996,8.2
M,X360,9.1,5.3,3.14,1.55,0.08,0.52,2009,8.8
E,PS2,9.1,4.91,3.98,0.26,0.01,0.66,2005,8.4
E,X360,9.1,4.6,2.08,1.98,0.06,0.49,2011,8.4
T,PS2,9.1,4.41,2.66,1.29,0.01,0.46,2001,7.7
M,X360,9.1,4.34,2.81,1.13,0,0.41,2014,5.8
M,PS3,9.1,4.27,1.59,1.81,0.2,0.67,2014,5.9
E,X360,9.1,4.05,2.35,1.27,0.03,0.41,2007,7.9
E,PS,9.1,3.71,1.93,1.58,,0.19,2000,8.9
T,X360,9.1,3.54,2.24,0.95,0.02,0.33,2009,8.8
M,X360,9.1,3.53,2.87,0.39,0.03,0.25,2010,8.4
E,PS3,9.1,3.43,1.83,1.07,0.06,0.47,2011,8.6
M,PS3,9.1,3.21,1.29,1.31,0.12,0.49,2011,7.8
M,PS3,9.1,3.02,1.4,1.07,0.08,0.46,2009,7.9
M,PS3,9.1,2.85,1.87,0.57,0.11,0.3,2010,8.3
M,X360,9.1,2.73,1.55,0.92,0.02,0.24,2011,8
E,X360,9.1,2.64,2.32,0.14,0.01,0.17,2011,7.8
T,PS2,9.1,2.57,1.31,0.74,0.31,0.22,2004,9
T,X360,9.1,2.47,1.93,0.33,,0.21,2007,7.7
M,XOne,9,8.72,4.7,3.25,0.01,0.76,2014,8
T,PS2,9,6.83,2.93,2.75,0.17,0.99,2002,8.3
M,PS3,9,6.49,2.57,2.68,0.25,0.99,2011,6.7
M,PS3,9,5.57,2.54,1.95,0.21,0.86,2009,8.7
M,X360,9,4.96,3.41,0.99,0.09,0.46,2008,8.5
T,PS3,9,4.28,2.26,1.33,0.07,0.63,2009,8.8
M,PS2,9,4.23,1.46,0,0.83,1.93,2004,8
M,X360,9,3.97,2.67,0.88,0.05,0.38,2009,8.2
E,PS2,9,3.64,2.08,1.09,0.15,0.33,2001,8.9
E,PS3,9,3.63,0.6,2.46,0.05,0.52,2009,7.3
E,PS4,9,3.52,2.28,0.59,0.03,0.63,2016,6.3
M,X360,9,3.48,2.11,1.01,0.04,0.33,2010,8.3
M,X360,9,2.6,1.08,1.22,0.03,0.27,2009,8
E,PS3,9,2.55,0.43,1.68,0.05,0.38,2015,4.4
E,PS4,8.9,10.94,1.26,7.95,0.12,1.61,2016,5.1
T,PS,8.9,4.63,2.29,1.97,0.13,0.24,1996,8.3
E,PS2,8.9,3.17,2.06,0.56,0.38,0.17,2001,8.4
M,PS3,8.9,2.96,1.33,1.11,0.08,0.44,2010,8.4
E10,PS3,8.9,2.81,1.05,1.24,0.03,0.49,2010,7.5
M,PC,8.9,2.76,0.89,1.44,,0.43,2011,7.7
E,PS3,8.9,2.63,1.74,0.46,0.05,0.39,2012,8.1
E,X360,8.9,2.62,0.6,1.79,0.01,0.23,2009,7.3
E10,PS3,8.9,2.57,0.93,1.1,0.08,0.45,2007,8.6
M,PS3,8.9,2.51,0.6,1.45,0.08,0.38,2013,8.3
M,X360,8.8,14.74,9.76,3.73,0.11,1.14,2010,6.9
M,PS3,8.8,13.35,5.54,5.78,0.49,1.54,2011,3.4
M,PSP,8.8,7.72,2.9,2.83,0.24,1.74,2005,8.2
M,PS3,8.8,6.5,2.65,2.61,0.16,1.08,2012,6.9
T,PS4,8.8,4.54,1.84,1.8,0.17,0.73,2016,6.4
E,PS2,8.8,4.39,0.1,2.39,1.05,0.86,2007,8.5
M,PS3,8.8,4.23,1.41,2.03,0.1,0.69,2011,7.6
M,PS3,8.8,4,2.18,1.15,0.07,0.61,2008,8.5
E,XOne,8.8,3.71,1.04,2.4,,0.27,2016,5.5
M,PS3,8.8,3.06,1.29,1.24,0.06,0.48,2010,8.5
E,PSP,8.8,2.61,0.65,1.27,0.01,0.68,2009,7.8
M,X360,8.7,14.82,9.07,4.29,0.13,1.33,2011,3.6
M,PS3,8.7,12.67,6.01,4.4,0.48,1.78,2010,7
M,X360,8.7,6.35,4.34,1.34,0.06,0.61,2009,7.9
E,PS3,8.7,5.08,0.61,3.28,0.06,1.12,2010,8.1
E,PS,8.7,5,3.36,1.36,0.07,0.21,1998,8.6
T,PS3,8.7,4.97,2.32,1.73,0.12,0.8,2007,7.8
T,X360,8.7,4.53,3.19,0.91,0.01,0.42,2007,8.4
T,PS2,8.7,4.05,1.68,1.51,0.51,0.35,2000,8.4
E10,PS4,8.7,3.98,2.56,0.66,0.05,0.71,2015,6.7
M,PS3,8.7,3.94,1.34,1.86,0.13,0.62,2013,8.2
T,PS2,8.7,3.9,2.29,1.17,0.01,0.42,2003,8.7
M,PS3,8.7,3.64,1.31,1.5,0.27,0.55,2013,6
M,X360,8.7,3.54,2.16,1.05,0.02,0.32,2013,5.8
E,X360,8.7,3.52,0.71,2.39,0.02,0.4,2010,7.5
E,PS,8.7,3.52,2.14,1.21,0.01,0.17,1999,9.1
M,X360,8.7,3.52,2.66,0.49,0.05,0.31,2008,7.9
T,PS,8.7,3.2,1.76,1.21,0.07,0.16,2000,8.3
T,PS3,8.7,2.99,1.76,0.68,0.12,0.42,2009,8.3
T,PS2,8.7,2.78,1.44,0.83,0.26,0.25,2003,8.9
T,XOne,8.7,2.72,1.63,0.84,,0.25,2016,5.9
M,PS4,8.6,8.48,2.91,3.97,0.27,1.34,2015,6.8
E,PS,8.6,7.58,3.78,2.17,1.31,0.31,1997,9
E,PS2,8.6,7.2,3.27,2.83,0.08,1.02,2003,8.6
M,PS3,8.6,5.1,1.96,1.42,1.08,0.64,2009,7.3
T,Wii,8.6,4.6,3.04,1.12,0,0.44,2007,6.8
T,PS2,8.6,4.37,2.03,1.79,0.08,0.47,2005,8.6
E10,PSP,8.6,4.23,2.45,1.02,,0.77,2006,8.5
M,PS4,8.6,3.6,0.9,2.06,0.08,0.55,2015,6.9
M,X360,8.6,3.53,2.13,0.93,0.12,0.34,2009,7.4
E,X360,8.6,3.11,2.62,0.21,0.01,0.28,2012,7.1
E,X360,8.6,2.83,2.52,0.09,,0.22,2009,7
T,X360,8.6,2.66,1.78,0.64,,0.25,2008,7.1
E,PS3,8.6,2.59,0.49,1.63,0.04,0.43,2008,6.9
E,PS4,8.5,8.22,1.15,5.77,0.07,1.23,2015,4.4
T,PC,8.5,7.96,1.01,6.46,,0.5,2009,7.8
M,PS4,8.5,7.53,2.84,3.34,0.14,1.22,2014,5.9
M,X360,8.5,7.5,4.88,1.91,,0.71,2008,7.8
M,X360,8.5,7.35,4.47,2.12,0.06,0.69,2011,7.5
M,PS3,8.5,7.21,2.86,2.94,0.35,1.07,2011,7.6
T,PS,8.5,6.27,3.11,2.8,0.02,0.33,1999,8
E,PS2,8.5,4.49,3.63,0.24,0.01,0.61,2006,8.6
M,PS3,8.5,4.37,1.74,1.72,0.14,0.76,2006,7.8
E10,PSP,8.5,3.75,1.4,1.4,0.1,0.86,2007,8
T,PS2,8.5,3.59,2.18,1.02,0.03,0.37,2005,9.1
M,X360,8.5,3.34,1.9,1.14,0.01,0.3,2013,8
E,PS4,8.5,3.28,2.3,0.37,,0.6,2016,4.1
E,XOne,8.5,3.25,0.92,2.1,,0.24,2015,4.6
M,PS3,8.5,2.9,1.98,0.54,,0.38,2011,8.4
T,PS2,8.5,2.67,1.48,0.92,0.01,0.26,2005,7.3
M,X360,8.5,2.56,1.76,0.55,0.03,0.22,2009,8.4
E,X360,8.5,2.54,2.21,0.12,,0.2,2008,6
M,PS3,8.4,5.43,2.75,1.84,,0.84,2008,7.8
M,PSP,8.4,5.08,1.7,2.03,0.16,1.19,2006,8.4
M,XOne,8.4,5.03,2.94,1.62,0.02,0.45,2015,6.8
E,PS2,8.4,4.11,0.71,2.48,0.03,0.89,2006,8.5
M,PS4,8.4,4.06,1.18,2.14,0.11,0.63,2014,7.8
E,PS2,8.4,3.7,0.58,2.48,0.04,0.59,2004,7.3
T,Wii,8.4,3.62,2.32,0.96,,0.34,2008,7
T,PS2,8.4,3.28,1.5,1.28,0.05,0.46,2003,8.5
T,PS2,8.4,3,1.57,1.02,,0.41,2005,8.2
T,PC,8.4,2.97,1.59,1.01,,0.37,2011,6
E10,PS2,8.4,2.69,1.85,0.64,0.01,0.19,2006,8.7
E,PS4,8.3,11.8,1.27,8.64,0.15,1.73,2017,3.8
E,PS2,8.3,6.9,2.71,3.02,0.08,1.09,2004,8.7
M,XOne,8.3,5.22,3.25,1.49,0.01,0.48,2014,5.8
T,PS2,8.3,4.67,1.94,1.95,0.08,0.7,2002,8
E,NS,8.3,4.57,2.16,1.24,0.82,0.34,2018,6.3
M,PS4,8.3,3.94,1.4,1.74,0.19,0.62,2013,7.2
E,Wii,8.3,3.93,2.11,1.35,0.06,0.4,2009,5.1
M,PS2,8.3,3.54,1.56,1.4,0.07,0.5,2006,7.7
M,X360,8.3,3.48,2.43,0.72,0.03,0.3,2009,7.9
T,XOne,8.3,3.41,2.17,0.92,,0.32,2014,5.5
M,PS4,8.3,3.36,1.24,1.5,0.08,0.54,2016,8.3
M,PS4,8.3,3.19,1.07,1.55,0.06,0.51,2013,8
M,X360,8.3,2.77,1.26,1.14,0.07,0.3,2011,7.7
E,NS,8.3,2.73,1.22,0.8,0.51,0.2,2018,6.4
E,PS3,8.3,2.71,2.12,0.24,,0.36,2012,5.5
T,X360,8.3,2.71,1.47,0.99,,0.25,2010,8.5
E,X360,8.3,2.69,2.38,0.12,,0.19,2010,6.4
E10,NS,8.3,2.59,1.1,1.08,0.22,0.2,2017,8.3
T,PS3,8.3,2.5,1.59,0.54,0.05,0.33,2008,7.9
T,X360,8.3,2.5,2.29,0.02,,0.19,2006,7.9
M,PS3,8.3,2.48,0.86,1.06,0.18,0.37,2011,7.8
E,X360,8.3,2.47,1.38,0.84,0,0.25,2008,7.7
M,X360,8.2,5.55,3.28,1.64,0.07,0.56,2007,7.4
T,PS2,8.2,4.98,3.49,0.01,0.01,1.48,2007,8.6
M,PS3,8.2,4.83,1.91,2.01,0.09,0.82,2007,7.2
E,PS2,8.2,4.48,2.71,1.51,0.03,0.23,2002,7.5
M,X360,8.2,4.08,2.67,1.03,0.04,0.34,2010,8.8
T,PS3,8.2,3.87,1.53,1.61,0.06,0.67,2007,7.3
E,PS2,8.2,3.63,0.05,0,0.64,2.93,2008,7.8
T,PS,8.2,3.54,1.66,1.58,0.12,0.18,1998,8.1
E,PS4,8.2,3.3,2.39,0.31,,0.61,2015,5.8
M,PS3,8.2,3.17,1.54,1.04,0.1,0.49,2010,8.6
T,XB,8.2,2.86,2.09,0.63,0.03,0.11,2002,8.5
M,PS3,8.2,2.81,1.46,0.87,0.09,0.38,2011,8.1
E,PS3,8.2,2.65,0.69,1.4,0.04,0.52,2009,6.7
E,PS4,8.2,2.62,1.73,0.42,,0.47,2017,3.6
T,PS2,8.2,2.52,1.13,1.12,0.06,0.22,2001,7.7
M,PS2,8.2,2.49,1.81,0.52,,0.15,2002,7.7
E,PS4,8.1,6.32,0.83,4.49,0.05,0.94,2014,5.7
T,PS4,8.1,5.07,1.81,1.53,1.05,0.68,2016,7.8
M,PS4,8.1,4.11,1.65,1.68,0.11,0.66,2015,8.1
T,PS2,8.1,3.61,1.93,1.22,0.03,0.44,2004,8.8
E10,PS4,8.1,3.34,2.13,0.57,0.04,0.59,2017,1.8
M,PS2,8.1,3.31,1.99,1.05,0.05,0.22,2001,8.6
T,X360,8.1,2.67,1.58,0.8,0.04,0.25,2009,7.6
M,PS4,8,13.4,4.67,6.21,0.4,2.12,2017,5.2
E10,Wii,8,5.66,3.57,1.57,,0.52,2007,8.7
T,PS3,8,5.35,1.75,1.23,1.87,0.51,2010,6.1
E,PS,8,3.73,1.37,2,0.14,0.22,2001,6.6
M,PS2,8,3.65,2.53,0.81,0.06,0.24,2002,8.4
E,PS2,8,3.49,0.59,2.36,0.04,0.51,2003,6.6
E,XOne,8,3.14,0.98,1.92,,0.23,2017,3.5
E,X360,8,2.93,2.53,0.16,,0.24,2012,5.8
E10,Wii,8,2.79,1.35,1.15,,0.3,2011,6.1
T,X360,8,2.7,1.49,0.92,0.02,0.27,2006,6.6
T,PS2,8,2.58,1.4,0.88,0.03,0.26,2006,8.3
M,X360,7.9,4.22,2.28,1.47,0.04,0.44,2011,7.4
M,PS4,7.9,3.95,1.44,1.73,0.15,0.62,2018,7
E,PS2,7.9,3.53,1.98,1.14,0.01,0.41,2005,8.2
T,PS2,7.9,3.44,1.55,1.27,0.33,0.29,2002,8
T,PS2,7.9,3.41,1.75,1.2,0.02,0.43,2004,8.5
M,X360,7.9,3.07,1.98,0.79,0.02,0.28,2008,8.5
M,X360,7.8,5.1,3.59,1.09,0.05,0.37,2010,6.7
E,DS,7.8,4.77,2.83,1.49,,0.45,2007,7.8
E10,DS,7.8,3.06,1.75,1.02,,0.29,2008,7.2
E,X360,7.8,2.7,2.43,0.11,,0.16,2011,6.2
T,PS2,7.7,4.7,1.73,2.19,,0.79,2003,8.6
M,PS2,7.7,3.54,1.23,1.77,0.05,0.49,2003,7.6
T,PS,7.6,5.24,2.3,2.46,0.2,0.28,1997,8.4
E10,PS3,7.6,3.88,2.15,1.13,0.1,0.5,2010,7.8
E,DS,7.6,3.47,1.21,1.63,0.27,0.37,2009,8
E10,Wii,7.5,10.14,5.95,3.13,,1.06,2011,8
M,PS3,7.5,10.13,4.11,4.01,0.39,1.62,2013,3
M,PS4,7.5,4.17,1.79,1.64,0.05,0.69,2013,4.3
E10,X360,7.5,3.76,2.4,1.01,,0.36,2008,7.7
E10,X360,7.5,3.44,2.07,1.04,,0.34,2008,7
M,XOne,7.5,3.07,1.92,0.86,,0.28,2013,4.5
E10,X360,7.5,3.05,1.91,0.84,,0.29,2008,7.2
T,PC,7.3,3.76,2.03,1.56,,0.17,2002,6.8
E10,Wii,7.3,3.08,1.8,0.98,,0.29,2008,7.7
M,PS4,7.2,2.73,0.63,1.61,0.07,0.41,2016,7
T,PS4,7.1,8.03,3.31,3.19,0.23,1.3,2015,5.1
E10,DS,7.1,3.46,2.1,1.01,0.01,0.35,2008,6.4
T,X360,7.1,2.77,1.74,0.78,,0.26,2008,7
E,PC,7,5.12,3.22,1.69,,0.2,1996,7.4
E,DS,7,5.1,1.63,2.46,0.44,0.57,2008,8
T,PS,7,4.73,2.36,2.1,0.02,0.25,2000,7.5
T,PC,7,4.1,1.2,2.6,,0.3,2014,4.2
E,DS,7,3.14,1.87,0.97,,0.3,2008,7.1
M,PS4,7,3.12,1.07,1.35,0.22,0.47,2017,6.5
T,XOne,6.9,4.15,2.49,1.26,0.02,0.38,2015,4.6
E,DS,6.9,3.58,1.6,1.49,0.1,0.39,2007,8.4
E,DS,6.7,3.66,1.58,1.6,0.08,0.4,2007,6.6
